gravity,wind_power,turbulence_power,reward
-2.9998249999999995,10.0,0.5,283.46232118752306
-2.9998249999999995,10.0,0.75,287.0433020035197
-2.9998249999999995,10.0,1.0,299.46702091591
-0.0001,0.0,0.0,-147.32483468996105
-0.0001,0.0,0.25,-145.279880887361
-0.0001,0.0,0.5,-110.13427959724811
-0.0001,0.0,0.75,-69.74361561172053
-0.0001,0.0,1.0,-92.01716546688223
-0.0001,2.5,0.0,-130.75182026230874
-0.0001,2.5,0.25,-157.39602491260433
-0.0001,2.5,0.5,-156.23729413068395
-0.0001,2.5,0.75,-170.24556034774378
-0.0001,2.5,1.0,-165.59064313228703
-0.0001,5.0,0.0,-119.5979256641777
-0.0001,5.0,0.25,-106.09312860077429
-0.0001,5.0,0.5,-150.14625837937893
-0.0001,5.0,0.75,-153.64409347830954
-0.0001,5.0,1.0,-3.6168397569288118
-0.0001,7.5,0.0,-145.616173637974
-0.0001,7.5,0.25,-142.39893726195623
-0.0001,7.5,0.5,-174.6119596198365
-0.0001,7.5,0.75,-137.2160019269011
-0.0001,7.5,1.0,-3821.996546052826
-0.0001,10.0,0.0,-333.304057981401
-0.0001,10.0,0.25,-4435.8839653177165
-0.0001,10.0,0.5,-1110.0275753541446
-0.0001,10.0,0.75,-1957.310458701607
-0.0001,10.0,1.0,-153.34240470620676
